Song,Artist
Manchild,Sabrina Carpenter
Ordinary,Alex Warren
What I Want,Morgan Wallen Featuring Tate McRae
Just In Case,Morgan Wallen
Luther,Kendrick Lamar & SZA
I'm The Problem,Morgan Wallen
A Bar Song (Tipsy),Shaboozey
Die With A Smile,Lady Gaga & Bruno Mars
Lose Control,Teddy Swims
Beautiful Things,Benson Boone
Pink Pony Club,Chappell Roan
Nokia,Drake
Anxiety,Doechii
Mutt,Leon Thomas
I Had Some Help,Post Malone Featuring Morgan Wallen
Birds Of A Feather,Billie Eilish
Espresso,Sabrina Carpenter
Blue Strips,Jessie Murph
All The Way,BigXthaPlug Featuring Bailey Zimmerman
Worst Way,Riley Green
I Got Better,Morgan Wallen
Love Somebody,Morgan Wallen
Love Me Not,Ravyn Lenae
APT.,ROSE & Bruno Mars
I Ain't Coming Back,Morgan Wallen Featuring Post Malone
30 For 30,SZA With Kendrick Lamar
Sports Car,Tate McRae
Weren't For The Wind,Ella Langley
20 Cigarettes,Morgan Wallen
Mystical Magical,Benson Boone
Sorry I'm Here For Someone Else,Benson Boone
Back To Friends,sombr
Timeless,The Weeknd & Playboi Carti
Undressed,sombr
That's So True,Gracie Abrams
Hip-Hop,Lil Wayne & BigXthaPlug Featuring Jay Jones
Messy,Lola Young
Superman,Morgan Wallen
Good News,Shaboozey
Burning Blue,Mariah The Scientist
Abracadabra,Lady Gaga
Typa,GloRilla
TV Off,Kendrick Lamar Featuring Lefty Gunplay
Wildflower,Billie Eilish
Am I Okay?,Megan Moroney
Cry For Me,The Weeknd
No One Noticed,The Marias
Backup Plan,Bailey Zimmerman & Luke Combs
Happen To Me,Russell Dickerson
Squabble Up,Kendrick Lamar
Just Keep Watching,Tate McRae
TN,Morgan Wallen
Bloodline,Alex Warren With Jelly Roll
Sharks,"Lil Wayne, Jelly Roll & Big Sean"
Shake It To The Max (Fly),"MOLIY, Silent Addy, Skillibeng & Shenseea"
Touch Me Like A Gangster,Jessie Murph
Somebody Loves Me,PARTYNEXTDOOR & Drake
After All The Bars Are Closed,Thomas Rhett
Azizam,Ed Sheeran
Dark Til Daylight,Morgan Wallen
Banned From NO,Lil Wayne
Welcome To Tha Carter,Lil Wayne
Dark Thoughts,Lil Tecca
Party 4 U,Charli xcx
Bells,Lil Wayne
Whim Whamiee,PLUTO & YKNIECE
Indigo,Sam Barber Featuring Avery Anna
Your Way's Better,Forrest Frank
OWA OWA,Lil Tecca
I'm A Little Crazy,Morgan Wallen
Eyes Are Closed,Morgan Wallen
Peekaboo,Kendrick Lamar Featuring AzChike
Fame Is A Gun,Addison Rae
Sapphire,Ed Sheeran
Hard Fought Hallelujah,Brandon Lake X Jelly Roll
Backseat Driver,Kane Brown
Marlboro Rojo,Fuerza Regida
House Again,Hudson Westbrook
Where'd That Girl Go,Morgan Wallen
Rather Lie,Playboi Carti & The Weeknd
Amen,Shaboozey & Jelly Roll
Thought It Was Love,Ty Myers
Tu Sancho,Fuerza Regida
Kick Myself,Morgan Wallen
"Skoal, Chevy, And Browning",Morgan Wallen
Me Jalo,Fuerza Regida & Grupo Frontera
Falling Apart,Morgan Wallen
Fix What You Didn't Break,Nate Smith
If You Were Mine,Morgan Wallen
Gnarly,KATSEYE
Kiss Her In Front Of You,Morgan Wallen
EOO,Bad Bunny
Cotton Candy,Lil Wayne & 2 Chainz
Cliche,mgk
Type Dangerous,Mariah Carey
Missing,Morgan Wallen
King Carter,Lil Wayne
Busy Woman,Sabrina Carpenter
Nice To Meet You,Myles Smith
Por Esos Ojos,Fuerza Regida
